_index,_type,_id,_score,_source.os.arch,_source.os.codename,_source.os.major,_source.os.minor,_source.os.name,_source.os.platform,_source.os.uname,_source.os.version,_source.lastKeepAlive,_source.configSum,_source.node_name,_source.mergedSum,_source.dateAdd,_source.name,_source.ip,_source.id,_source.status,_source.registerIP,_source.group,_source.version,_source.manager,_source.timestamp,_source.host,_source.cluster.name
racVM-monitoring-2022.14w,_doc,yBjM_n8BNtEzm59arAXd,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T12:14:58Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 12:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,ohhx_38BNtEzm59adwhf,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T15:14:50Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 15:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,sxh__38BNtEzm59aMwgR,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T15:29:50Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 15:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,SxhW_38BNtEzm59aAwjl,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T14:44:52Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 14:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,zxi2_38BNtEzm59aIQpS,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T16:29:58Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 16:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,chhj_38BNtEzm59avAiR,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T14:59:51Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 15:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,TBiM_38BNtEzm59a8wq3,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T15:45:00Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 15:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,fRia_38BNtEzm59aqwp-,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T16:00:00Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 16:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,8BjD_38BNtEzm59a3wqZ,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T16:44:57Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 16:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,pRio_38BNtEzm59aZgqe,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T16:14:59Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 16:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,IquP-n8Bo1kLDy8QyEsG,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-05T16:29:49Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/5/2022 16:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,qxhR_n8BNtEzm59aFAQe,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T09:59:54Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 10:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,kxgM_n8BNtEzm59aaQP0,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T08:44:51Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 8:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,qhga_n8BNtEzm59aIwOv,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T08:59:52Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 9:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,yBgn_n8BNtEzm59a4QNB,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T09:14:53Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 9:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,hRjs_X8BNtEzm59a8QG6,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T08:10:29Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 8:10,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,xhjw_X8BNtEzm59a8wL4,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T08:14:59Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 8:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,dRj-_X8BNtEzm59arANO,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T08:30:00Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 8:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,Fxg1_n8BNtEzm59angSM,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T09:30:00Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 9:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,MhhD_n8BNtEzm59aVwQD,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T09:44:49Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 9:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,Oxjo_n8BNtEzm59aIgb5,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T12:44:50Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 12:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,DRja_n8BNtEzm59aZgYj,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T12:29:51Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 12:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,GBhI_38BNtEzm59aRAhL,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T14:29:52Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 14:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,ahj1_n8BNtEzm59a3QZt,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T12:59:58Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 13:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,kBgf_38BNtEzm59aFAdb,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T13:44:55Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 13:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,yhgs_38BNtEzm59azwcK,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T13:59:54Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 14:00,racVM-manager,disabled
