_index,_type,_id,_score,_source.os.build,_source.os.major,_source.os.minor,_source.os.name,_source.os.platform,_source.os.uname,_source.os.version,_source.lastKeepAlive,_source.configSum,_source.node_name,_source.mergedSum,_source.dateAdd,_source.name,_source.ip,_source.id,_source.status,_source.registerIP,_source.group,_source.version,_source.manager,_source.timestamp,_source.host,_source.cluster.name
racVM-monitoring-2022.14w,_doc,WhiV_n8BNtEzm59awQXR,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T11:14:59Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.102.98.33,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 11:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,ehij_n8BNtEzm59aeQUN,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T11:29:51Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.102.98.33,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 11:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,xRhe_n8BNtEzm59a0gTq,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T10:15:00Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.102.98.33,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 10:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,2hhs_n8BNtEzm59aiQQE,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T10:29:59Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.102.98.33,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 10:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,Ahh6_n8BNtEzm59aRAX_,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T10:44:59Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.102.98.33,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 10:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,lRix_n8BNtEzm59aNAUL,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T11:44:53Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.102.98.33,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 11:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,qhi-_n8BNtEzm59a7wWz,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T11:59:54Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.102.98.33,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 12:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,xxjM_n8BNtEzm59arAXd,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T12:14:53Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.102.98.33,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 12:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,oRhx_38BNtEzm59adwhf,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T15:03:17Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.252.0.78,1,disconnected,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 15:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,shh__38BNtEzm59aMwgR,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T15:03:17Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.252.0.78,1,disconnected,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 15:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,ShhW_38BNtEzm59aAwjl,1.625895,19044,10,0,Microsoft Windows 10 Enterprise,windows,Microsoft Windows 10 Enterprise,10.0.19044,2022-04-06T14:44:53Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T10:58:52Z,AG1L0002,10.252.0.78,1,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 14:45,racVM-manager,disabled
